"congress","chamber","icpsr","bioguide_id","member","party_name","screen_name","account_type","handle_type","state_abbrev","district_code"
115,"House",21717,"F000465","Drew Ferguson","republican","REPDREWFERGUSON","office","screen_name","GA","03"
115,"House",20907,"H001047","Jim Himes","democratic","JAHIMES","office","screen_name","CT","04"
115,"House",20108,"D000598","Susan Davis","democratic","REPSUSANDAVIS","office","screen_name","CA","53"
115,"House",21317,"Y000065","Ted Yoho","republican","REPTEDYOHO","office","screen_name","FL","03"
115,"House",29337,"H000324","Alcee Hastings","democratic","REPHASTINGSFL","office","screen_name","FL","20"
115,"House",21316,"E000293","Elzabeth Esty","democratic","REPESTY","office","screen_name","CT","05"
115,"House",21323,"C001093","Doug Collins","republican","REPDOUGCOLLINS","office","screen_name","GA","09"
115,"House",29710,"D000197","Diana DeGette","democratic","REPDIANADEGETTE","office","screen_name","CO","01"
115,"House",15634,"R000435","Ileana Ros-Lehtinen","republican","ROSLEHTINEN","office","screen_name","FL","27"
115,"House",20504,"W000797","Debbie Wasserman Schultz","democratic","REPDWSTWEETS","office","screen_name","FL","23"
115,"House",21123,"S001189","Austin Scott","republican","AUSTINSCOTTGA08","office","screen_name","GA","08"
115,"House",20904,"P000598","Jared Polis","democratic","REPJAREDPOLIS","office","screen_name","CO","02"
115,"House",21116,"W000806","Daniel Webster","republican","REPWEBSTER","office","screen_name","FL","11"
115,"House",21111,"T000470","Scott Tipton","republican","REPTIPTON","office","screen_name","CO","03"
115,"House",20107,"I000056","Darrell Issa","republican","DARRELLISSA","office","screen_name","CA","49"
115,"House",20706,"C001069","Joe Courtney","democratic","REPJOECOURTNEY","office","screen_name","CT","02"
115,"House",20909,"P000599","Bill Posey","republican","CONGBILLPOSEY","office","screen_name","FL","08"
115,"House",20758,"B001257","Gus Bilirakis","republican","REPGUSBILIRAKIS","office","screen_name","FL","12"
115,"House",20959,"D000610","Ted Deutch","democratic","REPTEDDEUTCH","office","screen_name","FL","22"
115,"House",29339,"B000490","Sanford Bishop","democratic","SANFORDBISHOP","office","screen_name","GA","02"
115,"House",21515,"L000583","Barry Loudermilk","republican","REPLOUDERMILK","office","screen_name","GA","11"
115,"House",21513,"C001103","Buddy Carter","republican","REPBUDDYCARTER","office","screen_name","GA","01"
115,"House",21712,"C001111","Charlie Crist","democratic","REPCHARLIECRIST","office","screen_name","FL","13"
115,"House",20709,"B001260","Vern Buchanan","republican","VERNBUCHANAN","office","screen_name","FL","16"
115,"House",21371,"K000385","Robin Kelly","democratic","REPROBINKELLY","office","screen_name","IL","02"
115,"House",29717,"D000096","Danny K. Davis","democratic","REPDANNYDAVIS","office","screen_name","IL","07"
115,"House",21330,"W000813","Jackie Walorski","republican","REPWALORSKI","office","screen_name","IN","02"
115,"House",21331,"B001284","Susan Brooks","republican","SUSANWBROOKS","office","screen_name","IN","05"
115,"House",21132,"B001275","Larry Bucshon","republican","REPLARRYBUCSHON","office","screen_name","IN","08"
115,"House",20723,"Y000062","John Yarmuth","democratic","REPJOHNYARMUTH","office","screen_name","KY","03"
115,"House",21137,"R000588","Cedric Richmond","democratic","REPRICHMOND","office","screen_name","LA","02"
115,"House",21142,"H001058","Bill Huizenga","republican","REPHUIZENGA","office","screen_name","MI","02"
115,"House",21334,"D000620","John Delaney","democratic","REPJOHNDELANEY","office","screen_name","MD","06"
115,"House",20119,"L000562","Stephen Lynch","democratic","REPSTEPHENLYNCH","office","screen_name","MA","08"
115,"House",21372,"K000380","Dan Kildee","democratic","REPDANKILDEE","office","screen_name","MI","05"
115,"House",21375,"C001101","Katherine Clark","democratic","REPKCLARK","office","screen_name","MA","05"
115,"House",20725,"W000798","Tim Walberg","republican","REPWALBERG","office","screen_name","MI","07"
115,"House",21526,"M001194","John Moolenaar","republican","REPMOOLENAAR","office","screen_name","MI","04"
115,"House",14873,"H000874","Steny Hoyer","democratic","WHIPHOYER","office","prev_names","MD","05"
115,"House",29919,"C001037","Mike Capuano","democratic","REPMIKECAPUANO","office","screen_name","MA","07"
115,"House",15446,"U000031","Fred Upton","republican","REPFREDUPTON","office","screen_name","MI","06"
115,"House",21527,"B001293","Mike Bishop","republican","REPMIKEBISHOP","office","screen_name","MI","08"
115,"House",29729,"M000312","Jim McGovern","democratic","REPMCGOVERN","office","screen_name","MA","02"
115,"House",20122,"M001143","Betty McCollum","democratic","BETTYMCCOLLUM04","office","screen_name","MN","04"
115,"House",20726,"W000799","Tim Walz","democratic","REPTIMWALZ","office","screen_name","MN","01"
115,"House",20727,"E000288","Keith Ellison","democratic","KEITHELLISON","office","screen_name","MN","05"
115,"House",21530,"L000581","Brenda Lawrence","democratic","REPLAWRENCE","office","screen_name","MI","14"
115,"House",21733,"L000587","Jason Lewis","republican","REPJASONLEWIS","office","screen_name","MN","02"
115,"House",20517,"C001061","Emanuel Cleaver","democratic","REPCLEAVER","office","screen_name","MO","05"
115,"House",21723,"G000583","Josh Gottheimer","democratic","REPJOSHG","office","screen_name","NJ","05"
115,"House",29378,"V000081","Nydia Velazquez","democratic","NYDIAVELAZQUEZ","office","screen_name","NY","07"
115,"House",20733,"C001067","Yvette Clarke","democratic","REPYVETTECLARKE","office","screen_name","NY","09"
115,"House",21560,"D000625","Dan Donovan","republican","REPDANDONOVAN","office","screen_name","NY","11"
115,"House",21344,"M001185","Sean Maloney","democratic","REPSEANMALONEY","office","screen_name","NY","18"
115,"House",21101,"R000585","Tom Reed","republican","REPTOMREED","office","screen_name","NY","23"
115,"House",29546,"J000255","Walter B. Jones","republican","REPWALTERJONES","office","screen_name","NC","03"
115,"House",21352,"B001281","Joyce Beatty","democratic","REPBEATTY","office","screen_name","OH","03"
115,"House",20946,"T000467","Glenn Thompson","republican","CONGRESSMANGT","office","screen_name","PA","05"
115,"House",21171,"B001269","Lou Barletta","republican","REPLOUBARLETTA","office","screen_name","PA","11"
115,"House",21547,"C001106","Ryan Costello","republican","REPRYANCOSTELLO","office","screen_name","PA","06"
115,"House",15410,"D000191","Peter DeFazio","democratic","REPPETERDEFAZIO","office","screen_name","OR","04"
115,"House",15029,"K000009","Marcy Kaptur","democratic","REPMARCYKAPTUR","office","screen_name","OH","09"
115,"House",21163,"S001187","Steve Stivers","republican","REPSTEVESTIVERS","office","screen_name","OH","15"
115,"House",29777,"B001227","Bob Brady","democratic","REPBRADY","office","screen_name","PA","01"
115,"House",21162,"J000292","Bill Johnson","republican","REPBILLJOHNSON","office","screen_name","OH","06"
115,"House",21546,"R000604","Steve Russell","republican","REPRUSSELL","office","screen_name","OK","05"
115,"House",21356,"P000605","Scott Perry","republican","REPSCOTTPERRY","office","screen_name","PA","04"
115,"House",20944,"S001180","Kurt Schrader","democratic","REPSCHRADER","office","screen_name","OR","05"
115,"House",21164,"R000586","Jim Renacci","republican","REPJIMRENACCI","office","screen_name","OH","16"
115,"House",21354,"B001283","Jim Bridenstine","republican","REPJBRIDENSTINE","office","screen_name","OK","01"
115,"House",21357,"R000598","Keith Rothfus","republican","KEITHROTHFUS","office","screen_name","PA","12"
115,"House",21548,"B001296","Brendan Boyle","democratic","CONGBOYLE","office","screen_name","PA","13"
115,"House",20138,"W000795","Joe Wilson","republican","REPJOEWILSON","office","screen_name","SC","02"
115,"House",21359,"R000597","Tom Rice","republican","REPTOMRICE","office","screen_name","SC","07"
115,"House",21722,"G000581","Vicente Gonzalez","democratic","REPGONZALEZ","office","screen_name","TX","15"
115,"House",15445,"S000583","Lamar Smith","republican","LAMARSMITHTX21","office","screen_name","TX","21"
115,"House",20528,"P000592","Ted Poe","republican","JUDGETEDPOE","office","screen_name","TX","02"
115,"House",21362,"C001091","Joaquin Castro","democratic","JOAQUINCASTROTX","office","screen_name","TX","20"
115,"House",29572,"T000238","Mac Thornberry","republican","MACTXPRESS","office","screen_name","TX","13"
115,"House",21177,"N000184","Kristi Noem","republican","REPKRISTINOEM","office","screen_name","SD","00"
115,"House",20351,"B001243","Marsha Blackburn","republican","MARSHABLACKBURN","office","screen_name","TN","07"
115,"House",39301,"C000537","Jim Clyburn","democratic","CLYBURN","office","prev_names","SC","06"
115,"House",21180,"B001273","Diane Black","republican","REPDIANEBLACK","office","screen_name","TN","06"
115,"House",21358,"C001090","Matt Cartwright","democratic","REPCARTWRIGHT","office","screen_name","PA","17"
115,"House",20530,"M001157","Michael McCaul","republican","REPMCCAUL","office","screen_name","TX","10"
115,"House",21700,"A000375","Jodey Arrington","republican","REPARRINGTON","office","screen_name","TX","19"
115,"House",29561,"D000482","Michael F. Doyle","democratic","USREPMIKEDOYLE","office","screen_name","PA","14"
115,"House",20748,"C001068","Steve Cohen","democratic","REPCOHEN","office","screen_name","TN","09"
115,"House",20947,"R000582","Phil Roe","republican","DRPHILROE","office","screen_name","TN","01"
115,"House",21172,"C001084","David Cicilline","democratic","REPCICILLINE","office","screen_name","RI","01"
115,"House",21361,"O000170","Beto O'Rourke","democratic","REPBETOOROURKE","office","screen_name","TX","16"
115,"House",21178,"F000459","Chuck Fleischmann","republican","REPCHUCK","office","screen_name","TN","03"
115,"House",21552,"L000584","Mia Love","republican","REPMIALOVE","office","screen_name","UT","04"
115,"House",39305,"J000126","Eddie Bernice Johnson","democratic","REPEBJ","office","screen_name","TX","30"
115,"House",20756,"W000804","Rob Wittman","republican","ROBWITTMAN","office","screen_name","VA","01"
115,"House",20952,"C001078","Gerry Connolly","democratic","GERRYCONNOLLY","office","screen_name","VA","11"
115,"House",21365,"V000131","Mark Veasey","democratic","REPVEASEY","office","screen_name","TX","33"
115,"House",21364,"W000816","Roger Williams","republican","REPRWILLIAMS","office","screen_name","TX","25"
115,"House",21551,"B001291","Brian Babin","republican","REPBRIANBABIN","office","screen_name","TX","36"
115,"House",20357,"B001250","Rob Bishop","republican","REPROBBISHOP","office","screen_name","UT","01"
115,"House",21555,"C001105","Barbara Comstock","republican","REPCOMSTOCK","office","screen_name","VA","10"
115,"House",20356,"C001051","John Carter","republican","JUDGECARTER","office","screen_name","TX","31"
115,"House",21736,"M001200","Donald McEachin","democratic","REPMCEACHIN","office","screen_name","VA","04"
115,"House",20533,"C001063","Henry Cuellar","democratic","REPCUELLAR","office","screen_name","TX","28"
115,"House",20537,"M001160","Gwen Moore","democratic","REPGWENMOORE","office","screen_name","WI","04"
115,"House",21720,"G000579","Mike Gallagher","republican","REPGALLAGHER","office","screen_name","WI","08"
115,"House",21369,"H001064","Denny Heck","democratic","REPDENNYHECK","office","screen_name","WA","10"
115,"House",20535,"M001159","Cathy McMorris Rodgers","republican","CATHYMCMORRIS","office","screen_name","WA","05"
115,"House",21726,"J000298","Pramila Jayapal","democratic","REPJAYAPAL","office","screen_name","WA","07"
115,"House",21188,"M001180","David McKinley","republican","REPMCKINLEY","office","screen_name","WV","01"
115,"House",21559,"G000576","Glenn Grothman","republican","REPGROTHMAN","office","screen_name","WI","06"
115,"House",20536,"R000578","Dave Reichert","republican","DAVEREICHERT","office","screen_name","WA","08"
115,"House",21554,"B001292","Don Beyer","democratic","REPDONBEYER","office","screen_name","VA","08"
115,"House",39308,"G000289","Bob Goodlatte","republican","REPGOODLATTE","office","screen_name","VA","06"
115,"House",21187,"H001056","Jaime Herrera Beutler","republican","HERRERABEUTLER","office","screen_name","WA","03"
115,"House",NA,"P000610","Stacey Plaskett",NA,"STACEYPLASKETT","office","screen_name",NA,NA
115,"House",21732,"L000586","Al Lawson","democratic","REPALLAWSONJR","office","screen_name","FL","05"
115,"House",20955,"C001080","Judy Chu","democratic","REPJUDYCHU","office","screen_name","CA","27"
115,"House",21307,"V000129","David Valadao","republican","REPDAVIDVALADAO","office","screen_name","CA","21"
115,"House",20325,"K000362","Steve King","republican","STEVEKINGIA","office","screen_name","IA","04"
115,"House",21522,"A000374","Ralph Abraham","republican","REPABRAHAM","office","screen_name","LA","05"
115,"House",21192,"R000591","Martha Roby","republican","REPMARTHAROBY","office","screen_name","AL","02"
115,"House",20301,"R000575","Mike Rogers","republican","REPMIKEROGERSAL","office","screen_name","AL","03"
115,"House",20518,"F000449","Jeff Fortenberry","republican","JEFFFORTENBERRY","office","screen_name","NE","01"
115,"House",29911,"S001145","Jan Schakowsky","democratic","JANSCHAKOWSKY","office","screen_name","IL","09"
115,"House",21314,"V000130","Juan Vargas","democratic","REPJUANVARGAS","office","screen_name","CA","51"
115,"House",21748,"T000477","Scott Taylor","republican","SCOTTTAYLORVA","campaign","screen_name","VA","02"
115,"House",21563,"W000821","Bruce Westerman","republican","REPWESTERMAN","office","screen_name","AR","04"
115,"House",21514,"H001071","Jody Hice","republican","CONGRESSMANHICE","office","screen_name","GA","10"
115,"House",21305,"C001094","Paul Cook","republican","REPPAULCOOK","office","screen_name","CA","08"
115,"House",20920,"P000597","Chellie Pingree","democratic","CHELLIEPINGREE","office","screen_name","ME","01"
115,"House",29346,"R000515","Bobby Rush","democratic","REPBOBBYRUSH","office","screen_name","IL","01"
115,"House",21705,"B001302","Andy Biggs","republican","REPANDYBIGGSAZ","office","screen_name","AZ","05"
115,"House",21502,"G000574","Ruben Gallego","democratic","REPRUBENGALLEGO","office","screen_name","AZ","07"
115,"House",29317,"R000486","Lucille Roybal-Allard","democratic","REPROYBALALLARD","office","screen_name","CA","40"
115,"House",14854,"R000395","Hal Rogers","republican","REPHALROGERS","office","screen_name","KY","05"
115,"House",20916,"G000558","Brett Guthrie","republican","BRETTGUTHRIE","campaign","screen_name","KY","02"
115,"House",20754,"T000465","Niki Tsongas","democratic","NIKIINTHEHOUSE","office","screen_name","MA","03"
115,"House",21105,"S001183","David Schweikert","republican","REPDAVID","office","screen_name","AZ","06"
115,"House",20906,"C001077","Mike Coffman","republican","REPMIKECOFFMAN","office","screen_name","CO","06"
115,"House",21512,"C001107","Carlos Curbelo","republican","REPCURBELO","office","screen_name","FL","26"
115,"House",21701,"B001298","Don Bacon","republican","REPDONBACON","office","screen_name","NE","02"
115,"House",21742,"R000607","Francis Rooney","republican","REPROONEY","office","screen_name","FL","19"
115,"House",29908,"L000557","John B. Larson","democratic","REPJOHNLARSON","office","screen_name","CT","01"
115,"House",21519,"B001295","Mike Bost","republican","REPBOST","office","screen_name","IL","12"
115,"House",21131,"R000592","Todd Rokita","republican","TODDROKITA","office","screen_name","IN","04"
115,"House",20508,"L000563","Dan Lipinski","democratic","REPLIPINSKI","office","screen_name","IL","03"
115,"House",21103,"G000565","Paul Gosar","republican","REPGOSAR","office","screen_name","AZ","04"
115,"House",20705,"P000593","Ed Perlmutter","democratic","REPPERLMUTTER","office","screen_name","CO","07"
115,"House",21315,"P000608","Scott Peters","democratic","REPSCOTTPETERS","office","screen_name","CA","52"
115,"House",21193,"B001274","Mo Brooks","republican","REPMOBROOKS","office","screen_name","AL","05"
115,"House",31102,"M001184","Thomas Massie","republican","REPTHOMASMASSIE","office","screen_name","KY","04"
115,"House",21102,"S001185","Terri Sewell","democratic","REPTERRISEWELL","office","screen_name","AL","07"
115,"House",21728,"K000389","Ro Khanna","democratic","REPROKHANNA","office","screen_name","CA","17"
115,"House",20954,"Q000023","Mike Quigley","democratic","REPMIKEQUIGLEY","office","screen_name","IL","05"
115,"House",21125,"L000573","Raul Labrador","republican","RAUL_LABRADOR","office","screen_name","ID","01"
115,"House",21704,"B001301","Jack Bergman","republican","REPJACKBERGMAN","office","screen_name","MI","01"
115,"House",21707,"B001304","Anthony G. Brown","democratic","ANTHONYBROWNMD4","campaign","screen_name","MD","04"
115,"House",20708,"C001066","Kathy Castor","democratic","USREPKCASTOR","office","screen_name","FL","14"
115,"House",21332,"M001189","Luke Messer","republican","REPLUKEMESSER","office","screen_name","IN","06"
115,"House",21143,"A000367","Justin Amash","republican","JUSTINAMASH","office","screen_name","MI","03"
115,"House",20720,"L000565","Dave Loebsack","democratic","DAVELOEBSACK","office","screen_name","IA","02"
115,"House",20963,"H001048","Duncan Hunter","republican","REP_HUNTER","office","screen_name","CA","50"
115,"House",21737,"M001201","Paul Mitchell","republican","REPPAULMITCHELL","office","screen_name","MI","10"
115,"House",21135,"Y000063","Kevin Yoder","republican","REPKEVINYODER","office","screen_name","KS","03"
115,"House",21740,"P000613","Jimmy Panetta","democratic","REPJIMMYPANETTA","office","screen_name","CA","20"
115,"House",21335,"K000379","Joseph Kennedy III","democratic","REPJOEKENNEDY","office","screen_name","MA","04"
115,"House",21510,"B001297","Ken Buck","republican","REPKENBUCK","office","screen_name","CO","04"
115,"House",21333,"B001282","Andy Barr","republican","REPANDYBARR","office","screen_name","KY","06"
115,"House",NA,"R000600","Amata Coleman Radewagen",NA,"REPAMATA","office","screen_name",NA,NA
115,"House",21304,"B001287","Ami Bera","democratic","REPBERA","office","screen_name","CA","07"
115,"House",15124,"V000108","Pete Visclosky","democratic","REPVISCLOSKY","office","screen_name","IN","01"
115,"House",21300,"S001191","Kyrsten Sinema","democratic","REPSINEMA","office","prev_names","AZ","09"
115,"House",20759,"S001176","Steve Scalise","republican","STEVESCALISE","office","screen_name","LA","01"
115,"House",21713,"D000627","Val Demings","democratic","REPVALDEMINGS","office","screen_name","FL","10"
115,"House",20903,"M001177","Tom McClintock","republican","REPMCCLINTOCK","office","screen_name","CA","04"
115,"House",21368,"K000381","Derek Kilmer","democratic","REPDEREKKILMER","office","screen_name","WA","06"
115,"House",21562,"L000585","Darin LaHood","republican","REPLAHOOD","office","screen_name","IL","18"
115,"House",21529,"D000624","Debbie Dingell","democratic","REPDEBDINGELL","office","screen_name","MI","12"
115,"House",21735,"M001199","Brian Mast","republican","REPBRIANMAST","office","screen_name","FL","18"
115,"House",20321,"S001157","David Scott","democratic","REPDAVIDSCOTT","office","screen_name","GA","13"
115,"House",21739,"O000171","Tom O'Halleran","democratic","REPOHALLERAN","office","screen_name","AZ","01"
115,"House",21506,"A000371","Pete Aguilar","democratic","REPPETEAGUILAR","office","screen_name","CA","31"
115,"House",21140,"K000375","Bill Keating","democratic","USREPKEATING","office","screen_name","MA","09"
115,"House",29707,"S000344","Brad Sherman","democratic","BRADSHERMAN","office","screen_name","CA","30"
115,"House",20329,"R000576","Dutch Ruppersberger","democratic","CALL_ME_DUTCH","office","screen_name","MD","02"
115,"House",21117,"R000593","Dennis A. Ross","republican","REPDENNISROSS","office","screen_name","FL","15"
115,"House",29587,"C000984","Elijah Cummings","democratic","REPCUMMINGS","office","screen_name","MD","07"
115,"House",20715,"R000580","Peter Roskam","republican","PETERROSKAM","office","screen_name","IL","06"
115,"House",21503,"H001072","French Hill","republican","REPFRENCHHILL","office","screen_name","AR","02"
115,"House",21328,"D000619","Rodney Davis","republican","RODNEYDAVIS","office","screen_name","IL","13"
115,"House",21516,"A000372","Rick W. Allen","republican","REPRICKALLEN","office","screen_name","GA","12"
115,"House",15431,"L000287","John Lewis","democratic","REPJOHNLEWIS","office","screen_name","GA","05"
115,"House",21521,"Y000066","David Young","republican","REPDAVIDYOUNG","office","screen_name","IA","03"
115,"House",21501,"M001197","Martha McSally","republican","REPMCSALLY","office","prev_names","AZ","02"
115,"House",20958,"G000559","John Garamendi","democratic","REPGARAMENDI","office","screen_name","CA","03"
115,"House",21520,"B001294","Rod Blum","republican","REPRODBLUM","office","screen_name","IA","01"
115,"House",20712,"J000288","Hank Johnson","democratic","REPHANKJOHNSON","office","screen_name","GA","04"
115,"House",21118,"W000808","Frederica Wilson","democratic","REPWILSON","office","screen_name","FL","24"
115,"House",29910,"S001148","Mike Simpson","republican","CONGMIKESIMPSON","office","screen_name","ID","02"
115,"House",21313,"L000579","Alan Lowenthal","democratic","REPLOWENTHAL","office","screen_name","CA","47"
115,"House",20749,"F000454","Bill Foster","democratic","REPBILLFOSTER","office","screen_name","IL","11"
115,"House",29588,"B000574","Earl Blumenauer","democratic","REPBLUMENAUER","campaign","screen_name","OR","03"
115,"House",21312,"T000472","Mark Takano","democratic","REPMARKTAKANO","office","screen_name","CA","41"
115,"House",20316,"D000600","Mario Diaz-Balart","republican","MARIODB","office","screen_name","FL","25"
115,"House",20724,"S001168","John Sarbanes","democratic","REPSARBANES","office","screen_name","MD","03"
115,"House",21124,"H001050","Colleen Hanabusa","democratic","REPHANABUSA","office","screen_name","HI","01"
115,"House",21122,"W000810","Rob Woodall","republican","REPROBWOODALL","office","screen_name","GA","07"
115,"House",21302,"L000578","Doug LaMalfa","republican","REPLAMALFA","office","screen_name","CA","01"
115,"House",21730,"K000391","Raja Krishnamoorthi","democratic","CONGRESSMANRAJA","office","screen_name","IL","08"
115,"House",21738,"M001202","Stephanie Murphy","democratic","REPSTEPHMURPHY","office","screen_name","FL","07"
115,"House",15621,"R000409","Dana Rohrabacher","republican","DANAROHRABACHER","campaign","screen_name","CA","48"
115,"House",21309,"C001097","Tony Cardenas","democratic","REPCARDENAS","office","screen_name","CA","29"
115,"House",NA,"N000147","Eleanor Holmes Norton",NA,"ELEANORNORTON","office","screen_name",NA,NA
115,"House",20757,"C001072","Andre Carson","democratic","REPANDRECARSON","office","screen_name","IN","07"
115,"House",21326,"S001190","Brad Schneider","democratic","REPSCHNEIDER","office","screen_name","IL","10"
115,"House",20538,"M001163","Doris Matsui","democratic","DORISMATSUI","office","screen_name","CA","06"
115,"House",29903,"N000179","Grace Napolitano","democratic","GRACENAPOLITANO","office","screen_name","CA","32"
115,"House",20924,"P000594","Erik Paulsen","republican","REPERIKPAULSEN","office","prev_names","MN","03"
115,"House",21745,"S001199","Lloyd Smucker","republican","REPSMUCKER","office","screen_name","PA","16"
115,"House",15616,"N000015","Richard Neal","democratic","REPRICHARDNEAL","office","screen_name","MA","01"
115,"House",20124,"G000546","Sam Graves","republican","REPSAMGRAVES","office","screen_name","MO","06"
115,"House",20910,"R000583","Tom Rooney","republican","TOMROONEY","office","screen_name","FL","17"
115,"House",21321,"F000462","Lois Frankel","democratic","REPLOISFRANKEL","office","screen_name","FL","21"
115,"House",21703,"B001300","Nanette Barragan","democratic","REPBARRAGAN","office","screen_name","CA","44"
115,"House",21303,"H001068","Jared Huffman","democratic","REPHUFFMAN","office","screen_name","CA","02"
115,"House",21329,"B001286","Cheri Bustos","democratic","REPCHERI","office","screen_name","IL","17"
115,"House",21524,"P000611","Bruce Poliquin","republican","REPPOLIQUIN","office","screen_name","ME","02"
115,"House",20703,"M001165","Kevin McCarthy","republican","GOPLEADER","office","screen_name","CA","23"
115,"House",20704,"L000564","Doug Lamborn","republican","REPDLAMBORN","office","screen_name","CO","05"
115,"House",15033,"L000263","Sander Levin","democratic","REPSANDYLEVIN","office","screen_name","MI","09"
115,"House",21523,"G000577","Garret Graves","republican","REPGARRETGRAVES","office","screen_name","LA","06"
115,"House",21702,"B001299","Jim Banks","republican","REPJIMBANKS","office","screen_name","IN","03"
115,"House",29109,"D000216","Rosa DeLauro","democratic","ROSADELAURO","office","screen_name","CT","03"
115,"House",21198,"B001278","Suzanne Bonamici","democratic","REPBONAMICI","office","screen_name","OR","01"
115,"House",21706,"B001303","Lisa Blunt Rochester","democratic","REPLBR","office","screen_name","DE","00"
115,"House",15438,"P000523","David Price","democratic","REPDAVIDEPRICE","office","screen_name","NC","04"
115,"House",20929,"L000567","Leonard Lance","republican","REPLANCENJ7","office","screen_name","NJ","07"
115,"House",29375,"K000210","Peter T. King","republican","REPPETEKING","office","screen_name","NY","02"
115,"House",21182,"F000461","Bill Flores","republican","REPBILLFLORES","office","screen_name","TX","17"
115,"House",21749,"T000478","Claudia Tenney","republican","REPTENNEY","office","screen_name","NY","22"
115,"House",20927,"T000468","Dina Titus","democratic","REPDINATITUS","office","screen_name","NV","01"
115,"House",21348,"M001187","Mark Meadows","republican","REPMARKMEADOWS","office","prev_names","NC","11"
115,"House",21191,"G000568","Morgan Griffith","republican","REPMGRIFFITH","office","screen_name","VA","09"
115,"House",20755,"L000566","Bob Latta","republican","BOBLATTA","office","screen_name","OH","05"
115,"House",21129,"H001059","Randy Hultgren","republican","REPHULTGREN","office","screen_name","IL","14"
115,"House",29778,"L000551","Barbara Lee","democratic","REPBARBARALEE","office","screen_name","CA","13"
115,"House",29312,"E000215","Anna Eshoo","democratic","REPANNAESHOO","office","screen_name","CA","18"
115,"House",21741,"R000606","Jamie Raskin","democratic","REPRASKIN","office","screen_name","MD","08"
115,"House",29718,"S000364","John Shimkus","republican","REPSHIMKUS","office","screen_name","IL","15"
115,"House",14263,"N000127","Rick Nolan","democratic","USREPRICKNOLAN","office","screen_name","MN","08"
115,"House",21537,"M001193","Tom MacArthur","republican","REPTOMMACARTHUR","office","screen_name","NJ","03"
115,"House",20729,"S001172","Adrian Smith","republican","REPADRIANSMITH","office","screen_name","NE","03"
115,"House",29143,"J000174","Sam Johnson","republican","SAMSPRESSSHOP","office","screen_name","TX","03"
